Metric,Subject,Correlation,P_Value,Significant,N_Points
Ultimate_Mixed_Metric,Human,0.09981693142397774,0.8507718618594411,False,6
Ultimate_Mixed_Metric,Llama 3.1 70B,-0.611276292866583,0.19728991506808577,False,6
Ultimate_Mixed_Metric,Qwen 2.5 32B,-0.7771937424556203,0.06893359847705961,False,6
Ultimate_Mixed_Metric,OLMo 13B,-0.6769932629646828,0.1396498404310769,False,6
Ultimate_Mixed_Metric,Mistral 7B,-0.8759022606402316,0.02214480533339224,True,6
Ultimate_Mixed_Metric,Phi-3 Mini,-0.8299580343227957,0.040913085475822425,True,6
Ultimate_Mixed_Metric,InternLM 1.8B,-0.644222781937151,0.16734946057834194,False,6
Ultimate_PCA_Metric,Human,0.41876908284929204,0.40856562866439833,False,6
Ultimate_PCA_Metric,Llama 3.1 70B,-0.75447041160401,0.08302631970691535,False,6
Ultimate_PCA_Metric,Qwen 2.5 32B,-0.8438079919935749,0.034688689356917414,True,6
Ultimate_PCA_Metric,OLMo 13B,-0.8410493575985984,0.035889991712935575,True,6
Ultimate_PCA_Metric,Mistral 7B,-0.9698812349899768,0.001347049040261625,True,6
Ultimate_PCA_Metric,Phi-3 Mini,-0.9301731214200657,0.007143458756399389,True,6
Ultimate_PCA_Metric,InternLM 1.8B,-0.8222373066988817,0.0445907499033908,True,6
